('x','y','z','intensity','index')
(0.774296, 0.19305366, 0., 2639., 14)
(0.7756384, 0.20783168, 0., 2620., 15)
(0.7608452, -0.24721363, 0., 2570., 342)
(0.7650438, -0.2338974, 0., 2676., 343)
(0.7440165, -0.21334335, 0., 2572., 344)
(0.73989916, -0.19825542, 0., 2744., 345)
(0.7461574, -0.18603797, 0., 2830., 346)
(0.73662376, -0.17006303, 0., 2296., 347)
(0.7345888, -0.15614171, 0., 2522., 348)
(0.75192636, -0.14615972, 0., 2775., 349)
(0.7523931, -0.13266724, 0., 2845., 350)
(0.7486678, -0.11857736, 0., 2834., 351)
(0.7347789, -0.10326647, 0., 2554., 352)
(0.7434171, -0.09128018, 0., 2780., 353)
(0.7498695, -0.0788145, 0., 2103., 354)
(0.742165, -0.06493106, 0., 2576., 355)
(0.817005, -0.05713059, 0., 3578., 356)
(0.71302146, -0.03736791, 0., 1948., 357)
(0.76853156, -0.02683775, 0., 2506., 358)
(0.76488346, -0.01335113, 0., 2309., 359)
(0.798, 0., 0., 2658., 0)
(0.70989186, 0.01239121, 0., 5641., 1)
(0.72455835, 0.02530214, 0., 1799., 2)
(0.7799297, 0.04087438, 0., 2788., 3)
(0.7820902, 0.05468907, 0., 5402., 4)
(0.7172602, 0.06275214, 0., 968., 5)
(0.76975995, 0.08090503, 0., 2625., 6)
(0.70470774, 0.08652723, 0., 2209., 7)
(0.80706847, 0.11342607, 0., 382., 8)
(0.7881753, 0.1248347, 0., 2734., 9)
(0.77011967, 0.13579288, 0., 3045., 10)
(0.7705774, 0.14978507, 0., 2599., 11)
(0.7521955, 0.15988408, 0., 2565., 12)
(0.75416243, 0.17411211, 0., 2723., 13)
(0.76071185, 0.18966676, 0., 2645., 14)
(0.7514903, 0.20136121, 0., 2769., 15)
(0.78937685, -0.25648415, 0., 2785., 342)
(0.7487866, -0.22892708, 0., 2576., 343)
(0.75170666, -0.21554846, 0., 2820., 344)
(0.7543881, -0.20213771, 0., 2641., 345)
(0.75877124, -0.18918295, 0., 3039., 346)
(0.7531881, -0.17388721, 0., 2741., 347)
(0.7668677, -0.1630028, 0., 2555., 348)
(0.76272434, -0.14825863, 0., 2654., 349)
(0.7602716, -0.13405643, 0., 2943., 350)
